path,family,public_action,exact_sudo_path,local_path,operator_target,private_network,hardware_identifier
"data/captures/honey/bigscreen-beyond-edid-2026-04-25.txt","display","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/bigscreen-displayid-kunit-2026-04-25.txt","display","private-or-sanitized-summary",0,1,0,0,0
"data/captures/honey/bios-check-2026-04-22.txt","bios","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/bios-check-post-reboot-usbemu-disable-2026-04-22.txt","bios","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/bios-check-post-usbemu-disable-2026-04-22.txt","bios","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/bios-export-2026-04-22.cctk","bios","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/bios-export-post-reboot-usbemu-disable-2026-04-22.cctk","bios","private-or-sanitized-summary",0,0,0,0,3
"data/captures/honey/bios-export-post-usbemu-disable-2026-04-22.cctk","bios","private-or-sanitized-summary",0,0,0,0,2
"data/captures/honey/boot-device-map-2026-04-26.txt","boot-device","private-or-sanitized-summary",0,2,0,0,92
"data/captures/honey/chapel-host-probe-baseline.txt","chapel-host-probe","publish-derived-summary",0,0,1,0,1
"data/captures/honey/chapel-host-probe-generic-2026-04-25.txt","chapel-host-probe","publish-derived-summary",0,0,1,0,1
"data/captures/honey/chapel-host-probe-generic-repeat-2026-04-25-sample-01.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-generic-repeat-2026-04-25-sample-02.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-generic-repeat-2026-04-25-sample-03.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-generic-repeat-2026-04-25-sample-04.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-generic-repeat-2026-04-25-sample-05.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-generic-repeat-2026-04-26-sample-01.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-generic-repeat-2026-04-26-sample-02.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-generic-repeat-2026-04-26-sample-03.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-generic-repeat-2026-04-26-sample-04.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-generic-repeat-2026-04-26-sample-05.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-rt-2026-04-25.txt","chapel-host-probe","publish-derived-summary",0,0,1,0,1
"data/captures/honey/chapel-host-probe-rt-chapel-repeat-2026-04-26-sample-01.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-rt-chapel-repeat-2026-04-26-sample-02.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-rt-chapel-repeat-2026-04-26-sample-03.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-rt-chapel-repeat-2026-04-26-sample-04.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-rt-chapel-repeat-2026-04-26-sample-05.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-rt-repeat-2026-04-26-sample-01.txt","chapel-host-probe","publish-derived-summary",0,0,2,0,1
"data/captures/honey/chapel-host-probe-turnkey.txt","chapel-host-probe","publish-derived-summary",0,0,1,0,1
"data/captures/honey/drm-connector-properties-2026-04-25.txt","display","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/grubby-default-after-tuned-activation-2026-04-22.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,1
"data/captures/honey/host-characterization-window-generic-repeat-2026-04-26.txt","host-characterization-window","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/host-characterization-window-rt-repeat-2026-04-26.txt","host-characterization-window","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-after-tuned-activation-2026-04-22.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-post-reboot-usbemu-disable-2026-04-22.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-post-rt-boot-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-post-rt-chapel-repeat-return-generic-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-post-rt-recheck-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-post-rt-recheck-return-generic-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-post-rt-repeat-return-generic-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-post-rt-repeat-return-generic-rerun-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-post-rt-return-2026-04-25.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-post-tuned-reboot-2026-04-22.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-pre-rt-recheck-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-baseline-rt-repeat-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,1,0,0
"data/captures/honey/kernel-lane-arm-rt-chapel-repeat-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-arm-rt-recheck-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-arm-rt-repeat-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-clear-next-entry-2026-04-22.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-armed-rt-chapel-repeat-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-generic-2026-04-25.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-post-rt-boot-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-post-rt-chapel-repeat-return-generic-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-post-rt-recheck-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-post-rt-recheck-return-generic-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-post-rt-repeat-return-generic-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-post-rt-return-2026-04-25.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-post-rt-return-generic-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-pre-rt-arming-2026-04-22.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-pre-rt-chapel-repeat-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-pre-rt-reboot-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-pre-rt-recheck-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-pre-rt-repeat-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-rt-2026-04-25.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-rt-chapel-repeat-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-rt-chapel-repeat-post-capture-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-lane-status-rt-repeat-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/kernel-runtime-pre-rt-reboot-2026-04-23.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/live-rt-cmdline-confirmation-2026-04-26.txt","kernel-lane","private-or-sanitized-summary",0,0,0,0,1
